Timestamp,GlobalHorizIrr(PSP),GHIFlag,DirNormIrr,DNIFlag,DiffuseHorizIrr,DHIFlag
1997-03-10,28850.830000000005,171.0,41402.66,171.0,4764.799999999998,171.0
1997-03-11,63577.80999999998,291.0,94127.18000000004,291.0,6325.98,291.0
1997-03-12,50565.74000000002,231.0,70391.23,231.0,6417.92,231.0
1997-03-13,23460.29000000001,231.0,10075.250000000004,231.0,15686.149999999994,231.0
1997-03-14,15672.710000000001,282.0,1119.4799999999998,282.0,14156.310000000003,282.0
1997-03-15,39110.480000000025,252.0,41175.75000000001,252.0,14236.549999999996,252.0
1997-03-16,29632.229999999996,147.0,45909.57,147.0,3902.3700000000013,147.0
1997-03-17,12385.999999999998,204.0,271.61999999999995,204.0,11497.67,204.0
1997-03-18,8413.069999999996,369.0,-9.839999999999998,369.0,7615.1900000000005,369.0
1997-03-19,7427.920000000002,366.0,1.889999999999997,366.0,6654.25,366.0
