Timestamp,GlobalHorizIrr(PSP),GHIFlag,DirNormIrr,DNIFlag,DiffuseHorizIrr,DHIFlag
2004-04-30,43821.99000000001,697.0,12646.980000000001,721.0,37911.92,728.0
2004-05-01,44448.85999999999,749.0,6184.429999999999,778.0,42585.000000000015,778.0
2004-05-02,34787.92999999999,588.0,9723.85,621.0,29490.739999999994,641.0
2004-05-03,26756.520000000004,570.0,7372.769999999999,578.0,23612.86,578.0
2004-05-04,92667.75999999997,2274.0,111357.75000000004,2352.0,20556.68,2359.0
2004-05-05,62707.61,1290.0,48650.90999999999,1347.0,32497.18999999999,1347.0
2004-05-06,79068.67000000003,1609.0,82107.10999999999,1687.0,27466.01,1694.0
2004-05-07,89301.68999999999,1907.0,106140.80999999995,1998.0,19415.53000000001,1998.0
2004-05-08,77673.6,1598.0,73039.19000000005,1674.0,33280.73,1681.0
2004-05-09,78542.28999999994,1826.0,86693.87,1922.0,23942.630000000005,1929.0
2004-05-10,60755.36,1100.0,41615.51000000001,1004.0,34693.57,1137.0
2004-05-11,60493.28999999998,1849.0,46388.779999999984,1896.0,30242.920000000006,1896.0
2004-05-12,66592.66000000003,1982.0,57882.160000000025,2053.0,33085.21999999999,2060.0
2004-05-13,50794.239999999976,733.0,16292.960000000006,748.0,40116.38999999999,755.0
2004-05-14,71395.21999999997,731.0,46090.54999999998,752.0,36151.290000000015,759.0
2004-05-15,74819.14000000003,914.0,37651.76000000001,924.0,43374.489999999976,924.0
2004-05-16,52569.89,814.0,18145.109999999997,854.0,41344.23000000002,854.0
2004-05-17,52068.92,777.0,22311.159999999978,779.0,36413.68000000002,797.0
2004-05-18,57182.719999999994,890.0,29500.399999999998,923.0,39927.920000000006,923.0
2004-05-19,53605.849999999984,925.0,27880.69999999999,930.0,35942.67,930.0
2004-05-20,65609.21000000002,1132.0,47279.899999999965,1175.0,34000.079999999994,1182.0
2004-05-21,66085.21000000006,965.0,41034.16999999999,1007.0,38816.60999999999,1014.0
2004-05-22,81631.4599999999,1390.0,74506.95000000001,1447.0,32086.75,1454.0
2004-05-23,71377.51,1230.0,44989.28000000003,1242.0,40018.74999999996,1115.0
2004-05-24,64209.560000000005,1113.0,45988.88000000003,1159.0,40004.75000000001,1146.0
2004-05-25,73394.12000000002,1357.0,48417.98999999999,1368.0,40729.19,1374.0
2004-05-26,37045.98,970.0,8185.519999999999,823.0,32549.449999999993,955.0
2004-05-27,82385.15000000002,1207.0,67019.30999999998,1250.0,36001.42999999999,1250.0
2004-05-28,31562.579999999998,597.0,4580.769999999997,560.0,30141.88,599.0
2004-05-29,86187.59,1031.0,69689.18999999996,1082.0,32533.57000000001,1089.0
2004-05-30,27934.54,643.0,1543.0099999999995,624.0,28440.330000000013,685.0
2004-05-31,48760.269999999975,839.0,17688.840000000004,905.0,39704.070000000014,917.0
2004-06-01,84886.98000000011,2132.0,90320.36999999995,2147.0,25856.92000000001,1589.0
2004-06-02,78307.09,1196.0,73901.65000000002,1236.0,31590.230000000003,1255.0
2004-06-03,90519.72,755.0,86501.84999999998,781.0,25994.000000000004,788.0
2004-06-04,9558.2,808.0,42.9,438.0,10237.870000000006,673.0
2004-06-05,18048.49,544.0,164.70999999999995,514.0,19024.629999999997,514.0
2004-06-06,76395.31000000001,1292.0,41749.32000000001,1328.0,49281.220000000016,1335.0
2004-06-07,78595.26999999997,2198.0,65494.45000000003,2262.0,34166.220000000016,2269.0
2004-06-08,46247.23000000001,1170.0,27296.450000000015,1141.0,30879.83,1166.0
2004-06-09,73321.46999999994,2057.0,54633.39999999999,2104.0,40648.65999999997,2111.0
2004-06-10,62577.21999999999,640.0,24436.93,647.0,42447.99999999996,647.0
2004-06-11,65535.759999999944,1244.0,44334.25,1205.0,35051.56999999999,1212.0
2004-06-12,53935.820000000014,700.0,19417.789999999983,562.0,37573.88000000002,707.0
2004-06-13,65461.750000000015,767.0,36754.540000000015,753.0,38144.420000000006,759.0
2004-06-14,42197.42999999998,605.0,9605.59,583.0,35172.58999999997,595.0
2004-06-15,45708.839999999975,627.0,6532.249999999994,633.0,42258.13000000003,633.0
2004-06-16,61590.620000000024,912.0,29675.279999999988,931.0,42332.749999999985,952.0
2004-06-17,63450.77000000001,710.0,34012.06000000001,707.0,37697.32999999998,720.0
2004-06-18,46859.01999999999,1367.0,29808.329999999973,1397.0,35273.20999999999,1304.0
2004-06-19,33952.370000000024,626.0,5783.91,614.0,31156.510000000013,614.0
2004-06-20,100234.43,1367.0,110511.73000000003,1535.0,19780.070000000018,1535.0
2004-06-21,77251.39000000003,1507.0,53962.34000000003,1540.0,41381.67999999997,1547.0
2004-06-22,73069.48,1096.0,51561.17000000001,1137.0,39112.36999999999,1137.0
2004-06-23,25393.669999999987,553.0,442.27,550.0,26572.460000000006,569.0
2004-06-24,79146.32999999997,625.0,53752.79000000004,635.0,34441.36999999997,635.0
2004-06-25,23694.200000000008,621.0,205.69000000000017,584.0,25120.589999999997,597.0
2004-06-26,51430.099999999984,795.0,17154.809999999987,820.0,41067.24,820.0
2004-06-27,62680.439999999995,662.0,13754.070000000002,680.0,52905.56999999997,687.0
2004-06-28,53644.499999999956,897.0,16192.560000000009,914.0,46190.929999999986,928.0
2004-06-29,76086.39000000003,1941.0,57304.98000000003,1995.0,38677.75000000001,2002.0
2004-06-30,86436.09000000003,1637.0,63235.26000000001,1697.0,42242.460000000014,1704.0
2004-07-01,68919.95999999995,814.0,28488.179999999993,840.0,49690.71000000002,847.0
2004-07-02,53762.47000000001,761.0,19551.530000000002,782.0,39531.66999999999,782.0
2004-07-03,57499.51000000004,784.0,22110.559999999998,693.0,40676.68999999999,795.0
2004-07-04,70233.78000000003,1531.0,46127.38999999997,1563.0,41439.100000000006,1563.0
2004-07-05,80717.87000000001,1390.0,70556.51000000001,1445.0,35493.64000000001,1445.0
2004-07-06,85648.99,1851.0,76472.47000000003,1899.0,34419.92000000001,1899.0
2004-07-07,67090.35000000006,1118.0,50718.39999999998,1147.0,33730.360000000015,1147.0
2004-07-08,85332.05000000002,1303.0,83361.6,1349.0,24381.600000000002,1356.0
2004-07-09,85049.91999999997,2297.0,76980.41999999998,2362.0,36187.00000000004,2369.0
2004-07-10,63452.59999999994,1612.0,41792.43999999998,1639.0,36206.82000000001,1646.0
2004-07-11,59231.08999999999,786.0,22789.12,814.0,41835.009999999995,821.0
2004-07-12,54781.02000000001,946.0,27522.969999999994,955.0,35977.76999999998,967.0
2004-07-13,70249.32000000004,1156.0,45718.289999999986,1203.0,37492.460000000014,1203.0
2004-07-14,53002.44999999998,1210.0,40324.07,1260.0,34078.20000000002,1267.0
2004-07-15,82024.68000000002,1161.0,65276.01999999996,1214.0,35960.59999999996,1214.0
2004-07-16,93130.03,2426.0,94515.06,2506.0,28088.510000000013,2513.0
2004-07-17,36399.65000000001,735.0,3835.930000000001,749.0,35647.179999999986,763.0
2004-07-18,67589.50999999998,1037.0,41383.599999999984,1084.0,38033.57999999999,1084.0
2004-07-19,75445.92000000003,1397.0,44858.940000000024,1473.0,43422.67000000002,1473.0
2004-07-20,77705.88,2384.0,58370.86999999999,2472.0,40397.600000000006,2472.0
2004-07-21,89442.29,2665.0,90895.15999999993,2732.0,26893.84000000002,2739.0
2004-07-22,25195.530000000017,929.0,3990.9499999999994,978.0,25537.72000000001,1009.0
2004-07-23,41990.85000000001,676.0,10400.720000000003,695.0,35952.66999999998,702.0
2004-07-24,67909.45,935.0,49783.75999999999,970.0,30640.850000000013,977.0
2004-07-25,67437.40000000004,983.0,35920.30000000001,1022.0,43689.46000000003,1022.0
2004-07-26,52846.67,595.0,11800.059999999998,611.0,45441.55000000001,611.0
2004-07-27,27834.050000000017,593.0,1885.9300000000003,612.0,29119.079999999994,619.0
2004-07-28,80090.63000000002,1301.0,65291.02999999999,1360.0,33472.929999999986,1360.0
2004-07-29,74500.71999999999,1252.0,48888.01000000003,1307.0,42849.36000000001,1314.0
2004-07-30,35225.54,672.0,1721.469999999999,690.0,36339.759999999995,697.0
2004-07-31,47965.2,728.0,14469.800000000008,644.0,38531.76,742.0
2004-08-01,75386.29999999996,1124.0,55366.88999999998,1168.0,37825.64000000001,1175.0
2004-08-02,62231.010000000024,709.0,28407.13999999999,631.0,39090.440000000024,736.0
2004-08-03,65891.64000000003,1360.0,40500.420000000006,1424.0,38421.029999999984,1431.0
